character,category,base_file,no_box_reason,face_detected,face_conf,head_detected,head_conf,image_size,match_status,match_threshold,match_box,diff_total,diff_no_box
avg_npc_2040_1,avg,avg_npc_2040_1$5.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$6.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$7.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$8.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2041_1,avg,avg_npc_2041_1$1.png,face未检出,False,,True,0.8885,"[1385, 1385]",,,,5,5
avg_npc_2041_1,avg,avg_npc_2041_1$2.png,face未检出,False,,True,0.8897,"[1385, 1385]",,,,5,5
avg_npc_2044_1,avg,avg_npc_2044_1$1.png,face置信度不足(0.445<=0.8),True,0.4446,True,0.8244,"[1408, 1408]",,,,0,0
avg_npc_2046_1,avg,avg_npc_2046_1$1.png,face未检出,False,,True,0.9103,"[1224, 1224]",,,,0,0
avg_npc_2068_1,avg,avg_npc_2068_1$1.png,head置信度不足(0.682<=0.7),True,0.9374,True,0.6824,"[1436, 1436]",,,,20,20
avg_npc_2068_1,avg,avg_npc_2068_1$2.png,head置信度不足(0.685<=0.7),True,0.925,True,0.6845,"[1436, 1436]",,,,20,20
avg_npc_207,avg,avg_npc_207.png,face置信度不足(0.557<=0.8),True,0.5573,True,0.8934,"[1024, 1024]",,,,0,0
avg_npc_2075_1,avg,avg_npc_2075_1$1.png,face未检出,False,,True,0.8104,"[1124, 1124]",,,,0,0
avg_npc_2076_1,avg,avg_npc_2076_1$1.png,face置信度不足(0.373<=0.8),True,0.3726,True,0.8734,"[1215, 1215]",,,,0,0
avg_npc_208,avg,avg_npc_208.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2082_1,avg,avg_npc_2082_1$1.png,face置信度不足(0.370<=0.8),True,0.3698,True,0.7758,"[1048, 1048]",,,,0,0
avg_npc_2083_1,avg,avg_npc_2083_1$1.png,face置信度不足(0.787<=0.8),True,0.7871,True,0.894,"[1325, 1325]",,,,0,0
